Item No.,Description,Component,Failure mode,Failure effect on system,Failure effect on vessel,Alarm,Provision,S,O,D
1,Structure,Rudder bearing,Seizure,Rudder jam,No steering ctrl,No,Stop vessel,8,1,3
2,Structure,Rudder bearing,Breakage,Rudder loose,Reduced steering ctrl,No,Stop vessel,8,1,4
3,Structure,Rudder bearing,Structure failure,Function loss,Reduced steering,No,Use beams,8,2,4
4,Propulsion,Main engine,Loss of output,Loss of thrust,Loss of speed,Yes,None,8,8,5
5,Propulsion,Main engine,Auto shutdown,M/E stops,Loss of speed,Yes,Anchor,8,6,6
6,Propulsion,Shafter and propeller,Shaft breakage,Loss of thrust,Loss of speed,No,Anchor,8,2,1
7,Propulsion,Shafter and propeller,Shaft seizure,Loss of thrust,Loss of speed,Yes,Anchor,9,2,2
8,Propulsion,Shafter and propeller,Gearbox seizure,Loss of thrust,Loss of speed,Yes,Anchor,4,1,3
9,Propulsion,Shafter and propeller,Hydraulic failure,Cannot reduce thrust,Cannot reduce speed,No,Anchor,2,3,3
10,Propulsion,Shafter and propeller,Propulsion blade failure,Loss of thrust,Loss of speed,No,Slow steaming,2,1,4
11,Air services,Air receiver,No stare air pressure,Cannot start M/E,No propulsion,Yes,Recharge receiver,2,4,3
12,Electrical system,Power generation,Generator fail,No electric power,Some system failures,Yes,Use stand by generation,3,9,7
13,Electrical system,Main switch board,Complete loss,Loss of main supply,No battery charging,Yes,Use emergency 24 V,3,8,6
14,Electrical system,Emergency S/B,Complete loss,Loss of emergency supply,No emergency supply,No,Use normal supply,7,3,4
15,Electrical system,Main batteries,Loss of output,Loss of main 24 V,Loss of main low volt,Yes,Use emergency 24 V,3,3,4
16,Electrical system,Emergency batteries,Loss of output,Loss of emergency supply,No emergency supply,No,Use normal supply,8,1,3
17,Auxiliary system,Fuel system,Contamination,M/E and generation stop,Vessels stops,Yes,Anchor,8,4,5
18,Auxiliary system,Fuel system,No fuel to M/E,M/E stops,Vessels stops,No,Anchor,7,2,7
19,Auxiliary system,Water system,No cooling water,Engine overheat,M/E auto cut-out,Yes,Use stand-by pump,2,7,4
20,Auxiliary system,Hydraulic,System loss,No hydraulics,No steering,Yes,Stop vessel,8,9,9
21,Auxiliary system,Lube oil system,Loss of pressure,Low pressure cut-off,M/E stops,Yes,Use stand-by pump,3,9,6
